# tof, counts, bg
2.827960088325198740e-12,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000028336444e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000028393288e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000002845013e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000002850697e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000002856382e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000002862066e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000002867750e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000002873435e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000002879119e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000002884804e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000002890488e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000002896172e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000002901857e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.600000000002907541e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000002913225e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.400000000002918910e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.800000000002924594e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.200000000002930278e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.600000000002935963e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000002941647e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.400000000002947331e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.800000000002953016e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.200000000002958700e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.600000000002964384e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000297007e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.040000000000297575e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.080000000000298144e+01,0.000000000000000000e+00,2.276864007800069589e-03
1.120000000000298712e+01,1.000000000000000000e+00,3.454503746867494396e-01
1.160000000000299281e+01,1.000000000000000000e+00,1.921477222920528360e+00
1.200000000000299849e+01,1.000000000000000000e+01,6.771311441539006992e+00
1.240000000000300417e+01,1.400000000000000000e+01,1.457937287578831764e+01
1.280000000000300986e+01,2.700000000000000000e+01,2.438647702458264988e+01
1.320000000000301554e+01,4.200000000000000000e+01,3.556961598528139490e+01
1.360000000000302123e+01,6.400000000000000000e+01,4.703831837402629645e+01
1.400000000000302691e+01,7.100000000000000000e+01,5.804430564555899963e+01
1.440000000000303260e+01,6.700000000000000000e+01,6.936535589844591243e+01
1.480000000000303828e+01,8.300000000000000000e+01,8.053943491598082005e+01
1.520000000000304397e+01,9.700000000000000000e+01,9.209779722599154184e+01
1.560000000000304965e+01,9.800000000000000000e+01,1.036023023354483144e+02
1.600000000000305533e+01,1.190000000000000000e+02,1.153011211638993245e+02
1.640000000000306102e+01,1.010000000000000000e+02,1.265056000267322105e+02
1.680000000000306670e+01,1.620000000000000000e+02,1.377153127974658275e+02
1.720000000000307239e+01,1.530000000000000000e+02,1.487860629306846647e+02
1.760000000000307807e+01,1.760000000000000000e+02,1.597519713448566563e+02
1.800000000000308376e+01,1.970000000000000000e+02,1.705340770290444254e+02
1.840000000000308944e+01,1.780000000000000000e+02,1.811440947058501365e+02
1.880000000000309512e+01,1.930000000000000000e+02,1.915900208419247974e+02
1.920000000000310081e+01,2.200000000000000000e+02,2.021500187403754580e+02
1.960000000000310649e+01,2.450000000000000000e+02,2.123881726412591036e+02
2.000000000000311218e+01,2.480000000000000000e+02,2.220499268950918008e+02
2.040000000000311786e+01,2.550000000000000000e+02,2.315911661280455007e+02
2.080000000000312355e+01,2.620000000000000000e+02,2.408944796204847023e+02
2.120000000000312923e+01,2.740000000000000000e+02,2.499130291592742594e+02
2.160000000000313491e+01,2.640000000000000000e+02,2.588345077791616404e+02
2.200000000000314060e+01,3.050000000000000000e+02,2.676467792866472450e+02
2.240000000000314628e+01,2.970000000000000000e+02,2.760111490989655749e+02
2.280000000000315197e+01,3.390000000000000000e+02,2.846028057023322617e+02
2.320000000000315765e+01,4.120000000000000000e+02,2.930155522274051236e+02
2.360000000000316334e+01,5.320000000000000000e+02,3.012095358218774663e+02
2.400000000000316902e+01,7.880000000000000000e+02,3.093826724817626541e+02
2.440000000000317470e+01,1.697000000000000000e+03,3.173471871296882227e+02
2.480000000000318039e+01,3.506000000000000000e+03,3.255103167569143920e+02
2.520000000000318607e+01,6.107000000000000000e+03,3.334551627040324888e+02
2.560000000000319176e+01,8.596000000000000000e+03,3.411758384565459323e+02
2.600000000000319744e+01,9.768000000000000000e+03,3.487424197863186919e+02
2.640000000000320313e+01,9.335000000000000000e+03,3.557135842102676406e+02
2.680000000000320881e+01,7.740000000000000000e+03,3.620056307058580387e+02
2.720000000000321450e+01,5.436000000000000000e+03,3.673736596782928245e+02
2.760000000000322018e+01,3.591000000000000000e+03,3.719991319277045250e+02
2.800000000000322586e+01,2.342000000000000000e+03,3.760336480902475955e+02
2.840000000000323155e+01,1.702000000000000000e+03,3.792662504177927758e+02
2.880000000000323723e+01,1.350000000000000000e+03,3.819470171464629402e+02
2.920000000000324292e+01,1.176000000000000000e+03,3.842962186722335787e+02
2.960000000000324860e+01,1.122000000000000000e+03,3.862065971395036286e+02
3.000000000000325429e+01,1.009000000000000000e+03,3.877604024882598992e+02
3.040000000000325997e+01,9.540000000000000000e+02,3.894585953619148313e+02
3.080000000000326565e+01,1.040000000000000000e+03,3.907114211065808149e+02
3.120000000000327134e+01,1.065000000000000000e+03,3.918051905757238274e+02
